9046,0,0,0,1
51676,0,1,0,0
31112,0,1,0,0
60182,0,0,1,0
1665,0,1,0,0
56669,0,0,0,1
53882,0,1,0,0
10434,0,1,0,0
27419,1,0,0,0
60491,1,0,0,0
12109,0,1,0,0
12095,0,0,1,0
12175,0,0,1,0
8213,1,0,0,0
5317,0,1,0,0
58202,0,1,0,0
56112,0,0,1,0
34120,0,0,1,0
27458,0,1,0,0
25226,1,0,0,0
70630,0,0,1,0
13861,0,1,0,0
68794,0,1,0,0
64778,1,0,0,0
4219,0,0,0,1
70822,0,1,0,0
38047,0,0,0,1
61843,1,0,0,0
54827,0,0,1,0
69160,0,0,0,1
43717,0,0,1,0
33879,1,0,0,0
39373,0,1,0,0
54401,0,0,0,1
14248,0,1,0,0
712,0,0,0,1
47269,0,0,0,1
24977,0,0,0,1
47306,1,0,0,0
62602,0,1,0,0
4651,0,0,0,1
1261,0,1,0,0
61960,0,0,1,0
1845,0,0,0,1
7937,0,0,1,0
19824,0,1,0,0
37937,1,0,0,0
47472,0,0,0,1
35626,0,1,0,0
36338,0,0,1,0
18587,1,0,0,0
15102,0,0,0,1
59190,0,1,0,0
47167,0,1,0,0
8752,0,1,0,0
25831,0,0,0,1
38829,0,1,0,0
66400,0,0,0,1
58631,0,1,0,0
5111,0,1,0,0
10710,0,0,0,1
55927,0,1,0,0
65842,0,0,1,0
19557,0,0,0,1
7356,1,0,0,0
17013,0,1,0,0
17004,0,1,0,0
72366,1,0,0,0
6118,0,0,0,1
7371,0,1,0,0
70676,0,0,0,1
2326,0,0,0,1
27169,0,0,0,1
50784,0,1,0,0
19773,0,1,0,0
66159,0,0,0,1
36236,0,1,0,0
71673,0,0,0,1
45805,0,1,0,0
42117,1,0,0,0
57419,1,0,0,0
26015,1,0,0,0
26727,0,1,0,0
66638,0,1,0,0
70042,1,0,0,0
32399,0,0,1,0
3253,0,0,1,0
71796,0,0,0,1
14499,0,0,0,1
49130,1,0,0,0
28291,0,1,0,0
51169,0,1,0,0
66315,0,1,0,0
37726,1,0,0,0
54385,0,1,0,0
2458,0,1,0,0
35512,0,0,0,1
56841,0,0,1,0
8154,0,0,0,1
4639,0,1,0,0
12363,1,0,0,0
63973,0,1,0,0
45277,0,0,0,1
4712,1,0,0,0
33175,1,0,0,0
2346,0,0,1,0
42072,0,0,0,1
12062,0,0,1,0
30456,0,1,0,0
59125,0,1,0,0
56546,0,0,0,1
48405,0,0,1,0
36706,0,0,0,1
41069,0,1,0,0
71639,1,0,0,0
53401,0,1,0,0
60744,0,0,1,0
7547,0,0,1,0
31720,0,0,0,1
5563,0,1,0,0
68798,0,0,0,1
72918,1,0,0,0
13491,0,0,1,0
44033,0,1,0,0
14164,1,0,0,0
50522,0,1,0,0
3352,0,0,0,1
70943,1,0,0,0
37132,0,0,0,1
48796,1,0,0,0
53440,0,1,0,0
16817,0,1,0,0
69551,0,1,0,0
31563,0,0,0,1
20387,0,1,0,0
71279,0,1,0,0
55824,0,0,0,1
11762,1,0,0,0
29281,0,0,0,1
30683,1,0,0,0
20439,0,1,0,0
45965,0,0,1,0
8045,0,1,0,0
37651,0,1,0,0
17308,0,1,0,0
67981,0,0,0,1
41241,0,0,0,1
62861,0,1,0,0
72081,0,1,0,0
58978,0,1,0,0
11933,1,0,0,0
46703,0,0,0,1
32503,0,1,0,0
12482,0,0,1,0
56939,0,1,0,0
24669,0,1,0,0
43054,0,0,1,0
59437,0,0,1,0
66258,0,0,0,1
34567,0,1,0,0
50931,0,0,0,1
16590,0,0,1,0
69768,1,0,0,0
20426,0,1,0,0
3512,0,0,0,1
42899,0,0,0,1
63453,1,0,0,0
43364,0,1,0,0
44993,0,0,0,1
210,0,1,0,0
28939,0,0,0,1
60739,0,1,0,0
67432,0,0,1,0
2182,0,0,0,1
40899,0,0,0,1
14431,0,1,0,0
62466,0,1,0,0
36841,0,0,0,1
33486,1,0,0,0
65105,1,0,0,0
54567,0,1,0,0
66204,0,0,0,1
39912,0,0,1,0
8003,1,0,0,0
28378,0,0,1,0
41081,0,0,0,1
16077,0,0,0,1
67895,0,0,0,1
30184,0,0,0,1
66955,1,0,0,0
24905,0,0,0,1
66071,0,0,0,1
36255,0,0,1,0
69112,0,0,1,0
23410,0,0,1,0
64373,0,0,0,1
58267,0,0,0,1
35684,1,0,0,0
18937,0,0,0,1
